,Pyruvic acid,Lactate,Citric acid,trans-Aconitate,Oxoglutaric acid,Succinic acid,Fumaric acid,Malic acid,Itaconic acid,GABA,Glycerylphosphorylethanolamine,Aspartic Acid,Glutamate,Proline,Phenylalanine,Serine,Tyrosine,Threonine,Tryptophan,Glutamine,Glycine,Isoleucine,Valine,Leucine,Alanine,Histidine,Arginine,Ornithine,Citrulline,N2-Acetyl-L-ornithine,Asparagine,Nicotinamide adenine dinucleotide (NAD),Adenine,Inosine,Adenosine5'-monophosphate,cAMP,Ergothioneine,L-2-Aminoadipic acid,Diaminopimelic acid,D-Alanyl-D-alanine,Lysine
318,44021303.11,1013322.391,584221117.2,17593245.93,1618968.727,2756229.689,3445388.571,32120979.41,5388836.46,1326742.453,21998927.33,24482072.8,227602736.1,221802.0186,299508.8199,2697811.491,1602780.28,3059244.503,284830.9938,68558479.75,41677.36025,2451771.894,4301516.18,2451771.894,9929323.882,286330.3416,265790.4037,80547.67081,6014030.683,713791.0248,115731.6149,176224.0994,712877.8882,348626.5528,668269.472,78754.65373,36998278.98,12826447.17,4307276.832,6804863.385,4405365.745
318,27869157.93,29968877.51,484569672.1,27697013.91,21742773.51,507432.9916,1165784.372,6364005.126,8400230.084,79108.17992,4916910.941,10030282.34,134921989.1,412809.9791,100447.7197,2912771.234,663841.9456,2380642.092,102528.5146,22344989,178583.8494,1171707.803,3133472.197,1171707.803,10928342.82,185684.3724,167572.3431,549732.364,2823821.046,29864093.54,343012.2176,235691.7992,1210848.013,299528.159,679220.0837,3361.774895,3900328.682,4894212.05,16846678.12,5534117.259,2946489.226
318,43608294.37,477633.0952,677486375.2,22352973.41,956697.0635,1137659.286,1706993.095,15534200.87,6984974.683,864487.381,20051707.06,19643043.97,228346004.7,215399.2063,250037.8571,2547943.095,1542759.603,2567946.508,357439.7619,64904111.9,52615.79365,2461543.333,4157540.794,2461543.333,8940325.079,282583.0159,227355.1587,77017.46032,6221954.444,742440.6349,102139.3651,193292.6984,857486.6667,281219.3651,749057.2222,92076.39048,42604935.48,12789075.79,4152393.492,7445475.714,4554151.905
318,28224934.89,390751.9355,500712897.3,17260968.76,605546.4516,826410.4839,1053259.462,9576792.204,5358244.301,459012.8495,16543887.63,18080145.27,157145386.7,146884.8925,210442.4194,2287166.72,1116856.022,2978551.613,291837.6882,46853841.18,28376.45161,1781458.28,3858111.022,1781458.28,6531762.151,213252.7419,191043.3871,61664.46237,4266817.796,617926.1828,85402.58065,260605.3763,714030.1075,220877.043,820594.6774,59574.21989,59989093.76,9378176.559,2923425.054,6241661.398,4005731.022
318,33443030.63,702077.4146,487633199.1,12733703.56,1415753.122,2549897.927,2842608.732,28928328.8,4089752.78,1550443.829,20188882.46,24445110.59,217683769.2,245990.0488,182925.439,2684553.22,1525804.098,3392553.732,294100.8293,67430800.32,52307.41463,2516546.195,4211242.683,2516546.195,10523644.46,325788.0732,254560.3902,90201.07317,6598410.366,927553.5366,106040.2683,192443.122,747009.7317,358095.0732,813792.878,65103.16463,46531588.83,15718431.22,4274519.78,7635492.512,4537438.024
318,38197586.43,353092.1429,634187022.9,22798230.71,695286.4286,866438.5714,1553262.857,13941824.29,7310914.286,834790,18668131.43,21130104.29,198823562.1,194346.4286,255475,2358981.429,1411025,2520225.714,322142.8571,57771662.14,73197.14286,2298049.286,4096337.143,2298049.286,7689133.571,233042.8571,232021.4286,76795.71429,4896162.857,615748.5714,84535,211915,889499.2857,237403.5714,828331.4286,74486.5,41925266.43,11877933.57,3697752.143,6251912.857,4344481.429
333,37730240.24,341759.777,648131432.8,24042785.46,1544963.086,1107460.372,914307.9368,6107866.338,6868918.104,233534.4981,7334603.922,20168502.66,160875426.3,166770.8364,300574.7955,2497386.022,1114227.825,3436118.866,378646.7844,67063568.53,44909.44238,1739451.468,4571128.104,1739451.468,6922005.167,150793.4387,130693.4944,36907.24907,3328332.156,361171.5056,194238.7361,265570.2602,509232.3234,207429.5353,912445.7063,164868.1227,46812203.36,14675273.59,2031281.877,4881439.126,5836324.796
333,74866910.47,858862.9054,1063571899,41096480.88,2195818.885,1481763.547,1245531.486,10003826.25,12938914.26,221491.3176,6869063.716,30302332.5,277120613.8,225992.027,489792.4662,2767997.635,1419930.912,5313081.385,477430.8446,84318081.49,54180.2027,2178662.23,5166532.399,2178662.23,8568590.473,156188.1081,149050.7432,68835.10135,4328640.101,440100.7095,244865.5743,209424.0203,710400.8108,391537.1959,864283.3784,161828.098,57942268.48,20089057.7,2760749.899,5798311.824,7059368.919
333,27220880.24,86473418.25,257090207.7,10055993.1,20709246.03,2166495.397,1641653.095,10366012.38,3411134.048,217646.3492,8379442.063,15745816.43,177399521.3,294827.0635,43665.63492,2740755.635,481455.1587,1564107.46,47583.73016,39851551.67,55756.03175,859349.6825,492402.7778,859349.6825,943415.873,152776.9048,109389.7619,118810.4762,36472.85714,111134533.9,105385.2381,34072.06349,1334322.698,96262.22222,157453.6508,17678.77222,32705743.02,7144579.444,33914494.6,2614954.048,2779773.333
333,53872118.97,650443.6082,764465538.2,27515194.18,2261864.227,2237436.572,1293327.835,11031186.42,8442407.01,276375.8505,5880600,23783685.15,212778222.4,184942.8866,350126.5979,2373570.928,1085697.448,2383478.582,300391.8557,75947121.96,70233.01546,1931571.649,3945304.794,1931571.649,7008192.139,147117.9124,120575.8763,47349.04639,4454477.784,387493.1443,203729.0722,168935.3351,465846.8814,247972.0361,665618.5052,112115.7309,35200605.85,14297559.59,1543461.031,4029618.093,4837639.253
